0x803D39EE,0x01B80B94
0x003D4E8D,0x01B8CF7E
0x003D62F5,0x01B993C9
0x003D7725,0x01BA5874
0x803D8B1D,0x01BB1D80
0x803D9EDE,0x01BBE2EC
0x003DB267,0x01BCA8B9
0x003DC5B7,0x01BD6EE7
0x003DD8CF,0x01BE3576
0x803DEBAF,0x01BEFC66
0x803DFE56,0x01BFC3B7
0x003E10C5,0x01C08B69
0x003E22FB,0x01C1537C
0x003E34F8,0x01C21BF1
0x803E46BC,0x01C2E4C7
0x803E5847,0x01C3ADFF
0x003E6999,0x01C47799
0x003E7AB2,0x01C54195
0x803E8B91,0x01C60BF2
0x803E9C36,0x01C6D6B1
0x803EACA2,0x01C7A1D3
0x003EBCD4,0x01C86D57
0x003ECCCC,0x01C9393D
0x803EDC8A,0x01CA0585
0x803EEC0D,0x01CAD230
0x003EFB56,0x01CB9F3D
0x003F0A64,0x01CC6CAD
0x003F1938,0x01CD3A80
0x803F27D1,0x01CE08B6
0x803F362F,0x01CED74F
0x003F4452,0x01CFA64B
0x003F523A,0x01D075AA
0x003F5FE6,0x01D1456C
0x803F6D57,0x01D21591
0x803F7A8C,0x01D2E61A
0x003F8786,0x01D3B706
0x003F9444,0x01D48856
0x003FA0C6,0x01D55A09
0x803FAD0C,0x01D62C20
0x803FB916,0x01D6FE9B
0x003FC4E3,0x01D7D17A
0x003FD074,0x01D8A4BD
0x003FDBC8,0x01D97864
0x803FE6DF,0x01DA4C6F
0x803FF1BA,0x01DB20DE
0x003FFC58,0x01DBF5B2
0x004006B9,0x01DCCAEA
0x804010DC,0x01DDA086
0x80401AC2,0x01DE7687
0x0040246B,0x01DF4CED
0x00402DD6,0x01E023B7
0x00403703,0x01E0FAE6
0x80403FF2,0x01E1D27A
0x804048A3,0x01E2AA73
0x00405116,0x01E382D1
0x0040594B,0x01E45B94
0x00406142,0x01E534BC
0x804068FA,0x01E60E49
0x80407074,0x01E6E83C
0x004077AF,0x01E7C294
0x00407EAB,0x01E89D51
0x00408568,0x01E97874
0x80408BE6,0x01EA53FC
0x80409225,0x01EB2FEA
0x00409824,0x01EC0C3E
0x00409DE4,0x01ECE8F8
0x0040A364,0x01EDC617
0x8040A8A5,0x01EEA39C
0x8040ADA6,0x01EF8187
0x0040B267,0x01F05FD8
0x0040B6E8,0x01F13E90
0x8040BB29,0x01F21DAE
0x8040BF29,0x01F2FD32
0x8040C2E9,0x01F3DD1C
0x0040C668,0x01F4BD6D
0x0040C9A7,0x01F59E24
0x8040CCA5,0x01F67F41
0x8040CF62,0x01F760C5
0x0040D1DE,0x01F842B0
0x0040D419,0x01F92501
0x0040D613,0x01FA07B9
0x8040D7CB,0x01FAEAD8
0x8040D942,0x01FBCE5D
0x0040DA77,0x01FCB249
0x0040DB6A,0x01FD969C
0x0040DC1C,0x01FE7B56
0x8040DC8C,0x01FF6077
0x8040DCBA,0x020045FF
0x0040DCA5,0x02012BEE
0x0040DC4E,0x02021245
0x0040DBB5,0x0202F903
0x8040DAD9,0x0203E028
0x8040D9BA,0x0204C7B4
0x0040D859,0x0205AFA8
0x0040D6B5,0x02069803
0x8040D4CE,0x020780C6
0x8040D2A4,0x020869F0
0x8040D036,0x02095382
0x0040CD85,0x020A3D7B
0x0040CA90,0x020B27DC
0x8040C758,0x020C12A4
0x8040C3DC,0x020CFDD4
0x0040C01C,0x020DE96C
0x0040BC18,0x020ED56C
0x0040B7D0,0x020FC1D3
0x8040B344,0x0210AEA2
0x8040AE74,0x02119BD9
0x0040A960,0x02128978
0x0040A407,0x0213777F
0x00409E6A,0x021465EE
0x80409888,0x021554C5
0x80409261,0x02164404
0x00408BF5,0x021733AB
0x00408544,0x021823BA
0x00407E4E,0x02191431
0x80407713,0x021A0510
0x80406F93,0x021AF657
0x004067CD,0x021BE806
0x00405FC2,0x021CDA1E
0x00405771,0x021DCC9E
0x80404EDA,0x021EBF86
0x804045FD,0x021FB2D6
0x00403CDA,0x0220A68E
0x00403371,0x02219AAF
0x804029C2,0x02228F38
0x80401FCD,0x02238429
0x80401591,0x02247983
0x00400B0F,0x02256F45
0x00400046,0x0226656F
0x803FF537,0x02275C02
0x803FE9E1,0x022852FD
0x003FDE44,0x02294A60
0x003FD260,0x022A422C
0x003FC635,0x022B3A60
0x803FB9C3,0x022C32FD
0x803FAD09,0x022D2C02
0x003FA008,0x022E256F
0x003F92BF,0x022F1F45
0x003F852F,0x02301983
0x803F7757,0x0231142A
0x803F6937,0x02320F39
0x003F5AD0,0x02330AB0
0x003F4C21,0x02340690
0x003F3D29,0x023502D8
0x803F2DE9,0x0235FF89
0x803F1E61,0x0236FCA2
0x003F0E91,0x0237FA23
0x003EFE78,0x0238F80D
0x803EEE17,0x0239F65F
0x803EDD6D,0x023AF519
0x803ECC7A,0x023BF43C
0x003EBB3E,0x023CF3C7
0x003EA9BA,0x023DF3BA
0x803E97ED,0x023EF416
0x803E85D6,0x023FF4DA
0x803E7376,0x0240F606
0x003E60CD,0x0241F79A
0x003E4DDB,0x0242F997
0x803E3A9F,0x0243FBFC
0x803E271A,0x0244FEC9
0x003E134B,0x024601FE
0x003DFF32,0x0247059B
0x003DEACF,0x024809A0
0x803DD623,0x02490E0D
0x803DC12D,0x024A12E2
0x003DABED,0x024B181F
0x003D9662,0x024C1DC4
0x003D808D,0x024D23D1
0x803D6A6E,0x024E2A46
0x803D5404,0x024F3123
0x003D3D50,0x02503868
0x003D2651,0x02514015
0x003D0F08,0x02524829
0x803CF774,0x025350A5
0x803CDF95,0x02545989
0x003CC76B,0x025562D4
